road_segment,Latitude,Longitude
1,24.78291,120.9973
2,24.784881,120.991762
3,24.786012,120.988147
4,24.786925,120.986707
5,24.790287,120.976608
6,24.799731,120.980471
7,24.801905,120.97662
8,24.797298,120.969155
9,24.794781,120.965201
10,24.796701,120.960701
11,24.802188,120.971735
12,24.802567,120.965172
13,24.80496,120.96608
14,24.806158,120.962398
15,24.804801,120.955522
16,24.808988,120.966773
17,24.809132,120.960126
18,24.813821,120.967381
19,24.81215,120.97189
20,24.814245,120.974301
21,24.812401,120.981326
22,24.809863,120.977298
23,24.807052,120.975868
24,24.807029,120.979478
25,24.81051,120.98494
26,24.80794,120.98859
27,24.805558,120.986657
28,24.803639,120.996334
29,24.802691,120.998355
30,24.801061,120.987161
31,24.798933,120.993665
32,24.795998,120.997936
33,24.796608,121.002139
34,24.793317,121.001258
